#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
NOT_IN_DYNASTY;NEM az alábbi család tagja:;N'est PAS un membre de la Maison;Ist KEIN Mitglied von Haus ;;NO forma parte de la Casa ;;;;;;;;;x
tut_7c_4;"Már beszéltünk az ambíciókról a cselszövés gyakorlat során is. Cselszövéseket a karakter képernyõrõl is létrehozhatsz, ha megnyomod a célpont karakter képernyõjén a 'Cselszövés kiválasztása' gombot. Ám, mivel nehéz elõre megmondani kinek fog kedvezni egy cselszövésed, ezért egy egyszerûbb megoldás, ha a Cselszövés menü megfelelõ funkcióját hazsnálod. Ami egy nagy gomb ""Kattints a cselszövés kiválasztásához"" felirattal.";Nous avons parlé des ambitions dans le tutoriel intermédiaire sur les intrigues. Les complots peuvent aussi être choisis à partir de l'écran du portrait de votre personnage en trouvant un autre personnage contre lequel vous désirez comploter et en cliquant le bouton 'Choisir un complot'. Cependant, parce qu'il est difficile de savoir les bénefices que pourraient vous rapporter un complot contre un personnage donné, un moyen plus facile est d'utiliser le menu des complots dans l'écran intrigue afin de trouver des complots intéressants. C'est un grand bouton appellé 'Cliquez pour choisir un complot'.;"Über Ambitionen haben wir im mittleren Intrigen-Tutorial geredet. Verschwörungen können ebenfalls über den Charakterbildschirm ausgewählt werden. Geht hierzu auf den Charakterbildschirm der Zielperson und klickt die Schaltfläche ""Wählt einen Anschlag"". Da es allerdings mitunter schwer sein kann zu erkennen, von welchen möglichen Verschwörungen Ihr am meisten profitieren würdet, gibt es einen einfacheren Weg um interessante Verschwörungen zu finden. Geht hierfür auf die Intrigenseite und klickt auf die große Schaltfläche, die mit ""Zur Auswahl einer Verschwörung klicken"" betitelt ist. ";;Ya hemos hablado sobre ambiciones el tutorial intermedio sobre la intriga. Los complots también pueden ser esogidos desde la pantalla del retrato del personaje buscando un personaje contra el que quieras conspirar y seleccionando el botón 'Escoger Complot'. Sin embargo, ya que es dificil saber exáctamente contra quien te beneficiaria conspirar, es más facil hacerlo desde la selección de conspiraciones. Es un botón alargado llamado 'Seleccionar Complot';;;;;;;;;x
tut_7b_2;Ebben a részben megismerkedsz az ambíciókkal. Minden játszható karakter választhat egy ambíciót kiegészítve az ördögi cselszövéseiket. Kattints a karakteredre a további tudnivalókért.;Ce chapitre vous parlera des ambitions. Tous les personnages jouables peuvent sélectionner une ambition en plus de manigancer des complots sournois. Cliquez sur le portrait de votre personnage pour en apprendre plus.;Dieser Teil wird Euch über Ambitionen aufklären. Alle Charaktere können neben ihren hinterhältigen Verschwörungen auch persönliche Ambitionen wählen. Klickt auf das Porträt eures Charakters, um mehr darüber zu erfahren.;;Este apartado tratará sobre las ambiciones. Todos los personajes jugables pueden seleccionar una ambición además de participar en conspiraciones. Selecciona el retrato de tu personaje para aprender más.;;;;;;;;;x
tut_5b_4;A hadsereg menüben kétféle kiállítható katonaságot láthatsz: személyes és hûbéresi katonaságot. A személyes seregeid te magad irányítod, míg a hûbéreseid embereit õ maguk, vagy az õ hûbéreseik irányítják. Kattints a tovább gombra a folytatáshoz.;Dans l'onglet militaire 'Ost', vous pouvez voir qu'il y a deux sortes de troupes: l'ost et le ban. L'ost sont les conscrits de votre domaine que vous contrôlez vous même tandis que le ban sont les troupes contrôlées par vos vassaux et les vassaux de ceux-ci. Cliquez suivant pour continuer.;Wie Ihr auf der Militärseite sehen könnt, gibt es zwei Arten von Lehnstruppen, solche aus Eurer persönlichen Domäne und solche, die von euren Vasallen gestellt werden. Domänentruppen sind jene aus Provinzen, die von Euch kontrolliert werden während die Vasallentruppen aus Provinzen stammen, die von euren Vasallen oder den Vasallen Eurer Vasallen kontrolliert werden. Klickt weiter, um fortzufahren.;;En la pestaña militar puedes observar que hay dos tipos diferentes de levas: Las personales y las de los vasallos. Las levas personales son aquellas que controlas directamente, mientras que las de los vasallos son los que controlan tus vasallos y sus vasallos. Selecciona continuar para seguir.;;;;;;;;;x
tut_1a_3;Mivel katolikus uralkodóként játszol, ezért az egyházi személyek által birtokolt földek után csak akkor fogsz jövedelmet kapni, ha a püspök véleménye rólad kedvezõbb, mint a pápáról alkotott véleménye. Máskülönben neki adóznak. A püspökön kívüli hûbéreseidtõl mindig fogsz adót kapni, de többet kaphatsz, ha kedvelnek.;Parce que vous jouez un seigneur catholique, les provinces contrôlées par les titulaires religieux tels que les évêques ne vous fourniront de l'argent que si leur opinion de vous est plus haute que celle qu'ils ont du Pape. Sinon l'argent ira à celui-ci. Les vassaux qui ne sont pas des évêques vous donnerons toujours de l'argent mais vous en recevrez plus s'ils vous apprécient.;Da Ihr einen katholischen Herrscher spielt zahlen Euch religiöse Vasallen wie Bischöfe nur dann Steuern, wenn sie eine höhere Meinung von Euch als vom amtierenden Papst haben. Andernfalls zahlen sie an die Kirche. Andere Arten von Vasallen als Bischöfe zahlen stets an Euch, jedoch erhaltet ihr mehr Geld, wenn sie Euch mögen. ;;Como estas jugando con un gobernante católico, las provincias gobernadas por gobernantes eclesiásticos, como los obispos, sólo te pagarán impuestos si su opinión sobre ti es mayor que su opinión sobre el Papa. Si no todo el dinero ira para él. Todos los demás vasallos te pagaran los impuestos, más cuanto mejor opinión tengan de ti.;;;;;;;;;x
FAMILY_DUES_IRO;Felnõtt §Y$DYNASTY$§!-házi férfiak az udvarban: §Y$NUM$§! (§Y$GOLD$§!¤ fejenként).;Hommes adultes §Y$DYNASTY$§! à la cour: §Y$NUM$§! (§Y$GOLD$§!¤ chacun).;Erwachsene §Y$DYNASTY$§!-Männer am Hof: §Y$NUM$§! (je §Y$GOLD$§!¤).;;Hombres adultos de la casa §Y$DYNASTY$§! en tu corte: §Y$NUM$§! (§Y$GOLD$§!¤ cada).;;;;;;;;;x
FAMILY_DUES_DRO;Felnõtt férfi udvaroncok egy patrícius családban megkövetelik a bevétel megosztását. Viszont megnövelik a kereskedelmi állomás limitet.;Les courtiers mâles adultes de la dynastie du Patricien demandent tous une partie des revenus. En échange, ils augmentent la limite des Comptoirs.;Erwachsene männliche Höflinge der Dynastie des Patriziers erhalten einen Anteil an den Einkünften, erhöhen dafür aber auch die Obergrenze an möglichen Handelsposten.;;Los cortesanos varones adultos de la dinastía del Patricio recibirán una parte de los ingresos. Como contraprestación incrementarán el límite de puestos comerciales que puedes tener.;;;;;;;;;x
coastal_republic_desc;§Y$CLAIMANT$§! hadat üzenhet §Y$TITLE$§! parti területének a birtoklásáért, mivel vagy neki, vagy egy hûbéres patríciusnak kereskedelmi állomása van a területen, vagy a célpont egy rivális kereskedõ köztársaság.;§Y$CLAIMANT$§! peuvent déclarer la guerre pour prendre possession de §Y$TITLE$§! côtière puisqu'il (ou un Patricien vassal) y a un comptoir ou que la cible est une république marchande rivale.;§Y$CLAIMANT$§! kann Krieg erklären, um die Kontrolle über die Küste von §Y$TITLE$§! zu erlangen, da entweder er oder ein Patriziervasall dort einen Handelsposten besitzt oder das Ziel einer rivalisierenden Handelsrepublik gehört.;;§Y$CLAIMANT$§! puede declarar la guerra para tomar el costero §Y$TITLE$§! porque él o un patricio vasallo tiene un puesto comercial en el, o el objetivo forma parte de una republica mercantil rival.;;;;;;;;;x
coastal_county_republic_desc;Mint kereskedõ köztársaság, §Y$CLAIMANT$§! Hadat üzenhet §Y$TITLE$§! területének birtoklásáért, mivel már egy várost birtokol ott és a grófság a hatókörébe esik.;En tant que République Marchande, §Y$CLAIMANT$§! peuvent déclarer la guerre pour prendre le contrôle de §Y$TITLE$§! puisqu'ils y contrôlent déjà une ville et que le comté est à distance de celle-ci.;Als Handelsrepublik kann §Y$CLAIMANT$§! Krieg erklären, um die Kontrolle über §Y$TITLE$§! zu erlangen, da sie dort bereits eine Stadt kontrollieren und die Provinz in Reichweite ist.;;§Y$CLAIMANT$§! puede declarar la guerra para controlar §Y$TITLE$§! porque ya contola su ciudad y el condado está en nuestra esfera de influencia.;;;;;;;;;x
MAX_TRADE_POSTS;Kereskedelmi állomás limit: §Y$LIMIT$§!;Limite de Comptoirs: §Y$LIMIT$§!;Obergrenze an Handelsposten;;Límite de puestos comerciales: §Y$LIMIT$§!;;;;;;;;;x
MIN_TRADE_POSTS;Minimális kereskedelmi állomás limit: §Y$NUM$§!;Limite de comptoirs minimum: §Y$NUM$§!;Mindestmenge an Handelsposten;;Límite mínimo de puestos comerciales: §Y$NUM$§!;;;;;;;;;x
ADULT_FAMILY_IN_COURT;Felnõtt férfi családtagok az udvarban: §Y+$VALUE$§!;Nombres de membres adultes mâles de la famille qui se trouvent à la cour: §Y+$VALUE$§!;Erwachsene männliche Familienmitglieder am Hofe: §Y+$VALUE$§!;;Familiares varones adultos en la corte: §Y+$VALUE$§!;;;;;;;;;x
IS_NOT_OVER_TRADEPOST_LIMIT;Nincsen a kereskedelmi állomás limit felett;Ne dépasse pas la limite de Comptoirs;Ist nicht über der Obergrenze an Handelsposten;;No estás por encima del límite de puestos comerciales;;;;;;;;;x
DECLARE_WAR_INTERACTION_0;A tûzszünet megszegése (ami véget ér §Y$DATE$§! napsján) §R$PRESTIGE$§! tekitély veszteséget okoz neked és csökkenti a §Y[Recipient.Religion.GetGroupName]§! vallású uralkodók véleményét rólad §R$OPINION$§! értékkel. Téged ezentúl '§YEsküszegõ§!' néven fognak emlegetni(§R-5§! diplomácia §Y5§! éven át.);Briser la trève (celle-ci termine le §Y$DATE$§!) vous coûterait §R$PRESTIGE$§! Prestige et dimunuerait de §R$OPINION$§! l'opinion qu'a de vous tous les dirigeants §Y[Recipient.Religion.GetGroupName]§! . Vous serez considéré un '§YBriseur de Trèves§!' (§R-5§!Diplomacie pour §Y5§! ans.);"Ein Bruch des Waffenstillstands (der §Y$DATE$§! endet) würde Euch §R$PRESTIGE$§! Prestige kosten und die Meinung aller Herrscher vom §Y[Recipient.Religion.GetGroupName]§!-Glauben von Euch um §R$OPINION$§! verschlechtern. Ihr würdet außerdem als ""§YEidbrecher§!"" angesehen werden (§R-5§! Diplomatie für §Y5§! Jahre)";;Romper la tregua (dura hasta §Y$DATE$§!) te costará §R$PRESTIGE$§! prestigio y reducirá la opinión de todos los gobernantes §Y[Recipient.Religion.GetGroupName]§! hacía ti. Además serás considerado un '§YViolador de Treguas§! (§R-5§! diplomacia durante §Y5§! años.);;;;;;;;;x
IMPRISON_INTERACTION_1B;Ennek a lehetõségnek a használta zsarnokinak minõsül, és rontani fogja a te köztársaságodon belüli véleményt rólad §R$OPINION$§ értékkel!;Utiliser cette option est considéré comme étant tyrannique et diminuera de §R$OPINION$§!;Dies wird als tyrannisch angesehen werden und die Meinung aller Personen in der Republik über Euch um §R$OPINION$§ verschlechtern!;;Llevar a cabo esta acción será considerada tiránica, y reducirá la opinión sobre ti de todos los personajes en la República en §R$OPINION$§!;;;;;;;;;x
OFFER_MARRIGE_INTERACTION_2A;Felajánlod, hogy §Y[ActorExtra.GetTitledFirstName]§W és §Y[RecipientExtra.GetTitledFirstName]§W egybekeljen. Mint a $MYPARTYTIER$ hozzátartozója, §Y$MYPARTY$§W számára $PRESTIGE$ tekintélyt jelentene beházasodni az §Y[RecipientExtra.GetOnlyDynastyName]-házba§W és $PRESTIGE2$ tekintélyt, hogy $THEIRPARTYTIER$ hozzátartozójával egybekel.;Proposez que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se marrient. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W gagnerait $PRESTIGE$ prestige en se marriant avec quelqu'un de la maison §YHouse [RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé un proche parent d'un $THEIRPARTYTIER$.;Die Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipienteExtra.GetTitledFirstName]§W se casen. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§! ganará $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
OFFER_MARRIGE_INTERACTION_2B;Felajánlod, hogy §Y[ActorExtra.GetTitledFirstName]§W és §Y[RecipientExtra.GetTitledFirstName]§W egybekeljen. Mint a $MYPARTYTIER$ hozzátartozója, §Y$MYPARTY$§W és a te számodra $PRESTIGE$ tekintélyt jelentene beházasodni az §Y[RecipientExtra.GetOnlyDynastyName]-házba§W és $PRESTIGE2$ tekintélyt hogy egy $THEIRPARTYTIER$ hozzátartozóját veszi el.;Proposez que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se marrient. En tant que proche parent d'un $MYPARTYTIER$, §Y$MYPARTY$§W et vous gagneriez $PRESTIGE$ prestige en se marriant avec quelqu'un de la maison §YHouse [RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé un proche parent d'un $THEIRPARTYTIER$.;Die Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein Verwandter von einem $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §Y[RecipientExtra.GetTitledFirstName]§W se casen. Como familiar de un $MYPARTYTIER$, §Y$MYPARTY$§W y tú ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipientExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARTYTIER$.;;;;;;;;;x
OFFER_MARRIGE_INTERACTION_2C;Felajánlod, hogy §Y[ActorExtra.GetTitledFirstName]§W és §Y[RecipientExtra.GetTitledFirstName]§W egybekeljen. Mint a $MYPARTYTIER$, §Y$MYPARTY$§W számára $PRESTIGE$ tekintélyt jelentene beházasodni az §Y[RecipientExtra.GetOnlyDynastyName]-házba§W és $PRESTIGE2$ tekintélyt, hogy $THEIRPARTYTIER$ hozzátartozójával egybekel.;Proposez que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se marrient. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W gagnerait $PRESTIGE$ prestige en se marriant avec quelqu'un de la maison §YHouse [RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé un proche parent d'un $THEIRPARTYTIER$.;Die Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würde §Y$MYPARTY$§W $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §[RecipientExtra.GetTitledFirstName]§W se casen. Como un $MYPARTYTIER$, §Y$MYPARTY$§W ganará $PRESTIGE$ prestigio por casarse con la §YCasa [RecipienteExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARYTIER$.;;;;;;;;;x
OFFER_MARRIGE_INTERACTION_2D;Felajánlod, hogy §Y[ActorExtra.GetTitledFirstName]§W és §Y[RecipientExtra.GetTitledFirstName]§W egybekeljen. Mint a $MYPARTYTIER$, §Y$MYPARTY$§W és a te számodra $PRESTIGE$ tekintélyt jelentene beházasodni az §Y[RecipientExtra.GetOnlyDynastyName]-házba§W és $PRESTIGE2$ tekintélyt hogy egy $THEIRPARTYTIER$ hozzátartozóját veszi el.;Proposez que §Y[ActorExtra.GetTitledFirstName]§W et §Y[RecipientExtra.GetTitledFirstName]§W se marrient. En tant que $MYPARTYTIER$, §Y$MYPARTY$§W et vous gagneriez $PRESTIGE$ prestige en se marriant avec quelqu'un de la maison §YHouse [RecipientExtra.GetOnlyDynastyName]§W et $PRESTIGE2$ pour avoir épousé le proche parent d'un $THEIRPARTYTIER$.;Die Heirat von §Y[ActorExtra.GetTitledFirstName]§W und §Y[RecipientExtra.GetTitledFirstName]§W vorschlagen. Als ein $MYPARTYTIER$ würden §Y$MYPARTY$§W und Ihr je $PRESTIGE$ Prestige dafür erhalten in das §YHaus [RecipientExtra.GetOnlyDynastyName]§W einzuheiraten und $PRESTIGE2$ Prestige für die Heirat mit einem Verwandten von einem $THEIRPARTYTIER$.;;Propón que §Y[ActorExtra.GetTitledFirstName]§W y §[RecipientExtra.GetTitledFirstName]§W se casen. Como un $MYPARTYTIER$, §Y$MYPARTY$§W y tú ganaréis $PRESTIGE$ prestigio por casarse con la §YCasa [RecipienteExtra.GetOnlyDynastyName]§W y $PRESTIGE2$ por casarse con un familiar de un $THEIRPARYTIER$.;;;;;;;;;x
