#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
THREAT;Fenyegetés;Menace;Bedrohung;; Amenaza;;;;;;;;;x
THREAT_FACTION_LEADER;Frakcióvezetõ: §Y$FACTION$§!;Chef de faction : §Y$FACTION$§!;Fraktionsführer: §Y$FACTION$§!;;Jefe de la facción: §Y$FACTION$§!;;;;;;;;;x
THREAT_FACTION_MEMBER;Frakciótag: §Y$FACTION$§!;Membre de faction : §Y$FACTION$§!;Fraktionsmitglied: §Y$FACTION$§!;; Miembro de la fracción: §Y$FACTION$§!;;;;;;;;;x
THREAT_ADVENTURER;Kalandozást készít elõ ellenem;Prépare une aventure contre moi;Bereiten ein Abenteuer gegen mich vor;;Preparando una aventura contra mí;;;;;;;;;x
THREAT_PREPARING_INVASION;Inváziót készít elõ ellenem;Prépare une invasion contre moi;Bereiten eine Invasion gegen mich vor;;Preparando una invasión contra mí;;;;;;;;;x
alert_adventurer_threat_instant;§YKalandozó fenyegetések§!;§YMenaces d'aventuriers§!;§YAbenteurerbedrohung§!;;Amenazas de Adventurero;;;;;;;;;x
alert_adventurer_threat_delayed;Az alábbi kalandorok fenyegetnek engem:\n$LIST$;Ces aventuriers m'ont pris pour cible :\n$LIST$;Die folgenden Abenteurer haben mich zum Ziel auserkoren:\n$LIST$;;Los siguientes aventureros me han elegido como objetivo:\n$LIST$;;;;;;;;;x
alert_adventurer_threat_name;Engem célzó kalandorok;Les aventuriers qui me ciblent;Abenteurer, die mich zum Ziel haben;;Los aventureros me tienen como objectivo;;;;;;;;;x
opinion_targeted_by_adventurer;Invázió célpontja;Ciblé pour invasion;Für eine Invasion ausgewählt;;Objetivo para invasión;;;;;;;;;x
opinion_revoked_honorary_title;Visszavonta a becsületbeli titulusom;A révoqué mon titre honoraire;Mein Ehrentitel wurde mir entzogen;;Revocado mi título honorífico;;;;;;;;;x
holding_grand_hunt;Nagy vadászatot tart;Organise une grande chasse;Ein Großjagd abhalten;;Celebrando la Gran Caza;;;;;;;;;x
TITLE_NOT_REVOKEABLE;Nem visszavonható;N'est pas révocable;Nicht entziehbar;;No Revocable;;;;;;;;;x
MODIFIER_VASSAL_OPINION;Hûbéres-vélemény;Opinion des vassaux;Meinung der Vasallen;;Opinión de vasallo;;;;;;;;;x
MODIFIER_LIEGE_OPINION;Hûbérúr-vélemény;Opinion du seigneur;Meinung des Lehnsherren;;Opinión de señor feudal;;;;;;;;;x
MODIFIER_SEX_APPEAL_OPINION;Szexuális vonzerõ;Charme;Sexappeal;;Atractivo sexual;;;;;;;;;x
REVOKE_HONORARY_TITLE_INTERACTION_TITLE;Becsületbeli titulus visszavonása;Révoquer le titre honoraire;Entziehe einen Ehrentitel;; Revocar Título Honorífico;;;;;;;;;x
REVOKE_HONORARY_TITLE_INTERACTION_DESC;Vonj vissza egy becsületbeli titulust, amellyel korábban õt megjutalmazták;Révoquer un titre honoraire décerné à un personnage;Entziehe einem Charakter einen Ehrentitel, der ihm vorher verliehen worden war;;Revocar un título honorífico  otorgado a un personaje anteriormente;;;;;;;;;x
REVOKE_HONORARY_TITLE_INTERACTION_LONG_DESC;Visszavonhatod a kiosztott becsületbeli titulusokat a karakterektõl, megfosztva õket az ebbõl származó tekintélytõl és jövedelemtõl.;Vous pouvez révoquer les titres honoraires que vous avez décernés à des personnages, ce qui les privera du prestige et des revenus provenant de ces titres.;Ihr könnt Charakteren Ehrentitel entziehen, die Ihr ihnen verliehen habt, wodurch sie das damit verbundene Prestige und Einkommen verlieren.;;Puedes revocar títulos honoríficos que hayas otorgado a personajes, privándolos del prestigio e ingresos de esos títulos.;;;;;;;;;x
REVOKE_HONORARY_TITLE_INTERACTION_0;Válaszd ki a §Y[Recipient.GetTitledFirstName]§W személyétõl a viszavonandó becsületbeli titulust;Choisissez le titre honoraire de §Y[Recipient.GetTitledFirstName]§W que vous souhaitez révoquer.;Wählt einen Ehrentitel aus, der §Y[Recipient.GetTitledFirstName]§W entzogen werden soll.;;Seleccione un título honorífico para revocar de §Y[Recipient.GetTitledFirstName]§W.;;;;;;;;;x
REVOKE_HONORARY_TITLE_INTERACTION_1;Visszavonod a §Y[ThirdPartyTitle.GetFullName]§W titulust §Y[Recipient.GetTitledFirstName]§W személyétõl. Ez az õ véleményét $OPINION$ értékkel csökkenti rólad.;Révoquer le titre de §Y[ThirdPartyTitle.GetFullName]§W de §Y[Recipient.GetTitledFirstName]§W. Cela changera son opinion envers vous de $OPINION$.;Entzieht §Y[Recipient.GetTitledFirstName]§W den Titel des  §Y[ThirdPartyTitle.GetFullName]§W. Dies ändert [Recipient.GetPossPronoun] Meinung über euch um $OPINION$.;;Revoca el título de §Y[ThirdPartyTitle.GetFullName]§W de §Y[Recipient.GetTitledFirstName]§W. Esto cambiará la opinión de [Recipient.GetPossPronoun] de ti en $OPINION$.;;;;;;;;;x
REVOKE_HONORARY_TITLE_INTERACTION_ACCEPT_SETUP;Becsületbeli titulus visszavonva;Titre honoraire révoqué;Ehrentitel entzogen;;Título honorífico revocado;;;;;;;;;x
REVOKE_HONORARY_TITLE_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§W visszavonta a §Y[ThirdPartyTitle.GetFullName]§W titulust §Y[Recipient.GetBestName]§W személyétõl.;§Y[Actor.GetBestName]§W a révoqué le titre de §Y[ThirdPartyTitle.GetFullName]§W de §Y[Recipient.GetBestName]§W;§Y[Actor.GetBestName]§W entzog  §Y[Recipient.GetBestName]§W den Titel des §Y[ThirdPartyTitle.GetFullName]§W;;§Y[Actor.GetBestName]§W revocó el titulo de §Y[ThirdPartyTitle.GetFullName]§W de §Y[Recipient.GetBestName]§W;;;;;;;;;x
CANNOT_BUY_RET_TEMP_TITLE;\nEzt a kíséretet nem hozhatod létre, egy ideiglenes titulust birtokolsz.;\nVous ne pouvez pas créer cette suite car vous détenez un titre temporaire.;\nIhr könnt dieses Gefolge nicht erstellen, ihr tragt einen vorübergehenden Titel.;; No puedes crear esta comitiva, tienes un título temporal.;;;;;;;;;x
NOT_ALLOWED_INDIAN;Nem lehetséges §Yindiai§! karakterrel játszani a Rajas of India DLC nélkül!;Vous ne pouvez pas jouer les §YIndien§! sans l'extension Rajas of India !;Es ist nicht möglich, §YInder§! zu spielen ohne den DLC Radschas von Indien!;;No está permitido jugar como §YIndian§! sin los Rajás de India DLC;;;;;;;;;x
NOT_ALLOWED_INDIAN_MP;§Y$PLAYER$§! nem játszhat §Yindiai§! Karakterrel a Rajas of India DLC nélkül;§Y$PLAYER$§! ne peut pas jouer les §YIndien§! sans l'extension Rajas of India !;§Y$PLAYER$§! kann keine §YInder§! spielen ohne den DLC Radschas von Indien;;§Y$PLAYER$§! no pueden jugar como §YIndian§! sin los Rajás de India DLC;;;;;;;;;x
RD_NOT_PLAYABLE_WITHOUT_ROI_DLC;Az indiai vallások nem játszhatóak a Rajas of India DLC nélkül;Les religions indiennes ne sont pas jouables sans l'extension Rajas of India.;Die indischen Religionen können nicht ohne den DLC Radschas von Indien gespielt werden.;;Las religiones Indias no son jugable sin los Rajás de India DLC;;;;;;;;;x
TEMP_T_HOLDER_CANT_DESTROY_T;Ideiglenes titulusviselõk nem pusztíthatnak el semmilyen titulust;Les titulaires de titres temporaires ne peuvent pas détruire de titres.;Vorübergehende Titelträger können keine Titel zerstören;;Titulares temporales no pueden destruir ningún título;;;;;;;;;x
CANNOT_PLAY_INDIAN_WITHOUT_DLC;Nem játszhatsz india vallással a Rajas of India DLC nélkül;Vous ne pouvez pas jouer une religion indienne sans l'extension Rajas of India;Ihr könnt keine indische Religion spielen ohne den DLC Radschas von Indien;;No puedes jugar a una religión india sin los Rajás de India DLC;;;;;;;;;x
CANNOT_PLAY_JUDAISM_WITHOUT_DLC;Nem játszhatsz zsidó karakterrel Sons of Abraham DLC nélkül;Vous ne pouvez pas jouer un personnage juif sans l'extension Sons of Abraham.;Ihr könnt keinen jüdischen Charakter spielen ohne den DLC Söhne Abrahams;;No puedes jugar un personaje judío sin los Hijos de Abraham DLC;;;;;;;;;x
DESIGNATE_HEIR_ALLOWED_SUCCESSION;Az örökösítésnek gavelkind-szerûnek, primogenitúrának, ultimogenitúrának, vagy nyitottnak kell lennie;La loi de succession doit être, au choix, le gavelkind, la primogéniture, l'ultimogéniture, ou ouverte.;Als Erbfolgeprinzip muss entweder Gavelkind, Primogenitur, Ultimogenitur oder Offen ausgewählt werden;;La ley de sucesión debe ser Gavelkind, Primogenitura, Ultimogenitura o Abierta;;;;;;;;x;
DESIGNATE_HEIR_ALLOWED_GENDER;Az utód megnevezésnek a nemiségi örökösítéssel összhangban kell lennie;La désignation de l'héritier doit se confirmer à la loi de succession;Die Einsetzung eines Erben muss die Geschlechtsbestimmungen des Erbfolgeprinzips beachten;;El nombramiento del heredero debe obedecer la ley de sucesión de género;;;;;;;;x;
DESIGNATE_HEIR_PROGENY;Csak a saját utódodat nevezheted meg;Vous ne pouvez désigner qu'un de vos descendants;Ihr könnt nur Euren Nachfolger bestimmen;;Sólo puedes nombrar a tu progenie;;;;;;;;x;
GRANT_LANDED_TITLE_CORRECT_CASTE;A karakter a megfelelõ kaszthoz tartozik;Désigner ce personnage comme héritier;Setzt diesen Charakter als Euren Erben ein;; Nombra a este personaje como tu heredero;;;;;;;;;x
DESIGNATE_HEIR;Megnevezed ezt a karaktert, mint örökös;Le personnage est de la bonne caste;Charakter verfügt über die richtige Kaste;;El personaje tiene la Casta Correcta;;;;;;;;;x
opinion_former_lover;Korábbi szeretõ;Ancien(ne) amant(e);Früherer Liebhaber;; Ex amante;;;;;;;;;x
IS_NOT_LOVER_OF;NEM §Y$WHO$§! korábbi szeretõje;N'est pas l'ancien(ne) amant(e) de §Y$WHO$§!;Ist KEIN früherer Liebhaber von §Y$WHO$§!;; no es un ex amante ex de §Y$WHO$§!;;;;;;;;;x
IS_LOVER_OF;§Y$WHO$§! korábbi szeretõje;Est l'ancien(ne) amant(e) de §Y$WHO$§!;Ist ein früherer Liebhaber von §Y$WHO$§!;;Es un ex amante de §Y$WHO$§!;;;;;;;;;x
EVTDESC60400;A briliáns török zsoldos és korábbi rabszolga harcos Szebüktegin számos alkalommal kitûnt lovas hordájának vezetése közben, mind csatában, mind fosztogatásban. A parancsnokaim úgy vélik, hogy egy jelentõsebb pozicíóval kellene jutalmaznom.;Un brillant mercenaire turc et ancien guerrier esclave du nom de Sabuktigin s'est distingué de nombreuses fois à la tête de sa compagnie de cavaliers dans plusieurs batailles et raids. Mes généraux pensent que je devrais lui donner plus d'importance.;Ein brillanter türkischer Söldner und ehemaliger Sklavenkrieger namens Sabuktigin hat sich viele Male ausgezeichnet und mit seiner Reiterkompanie Gefechte ausgetragen und Überfälle durchgeführt. Meine Befehlshaber sind der Ansicht, dass ich ihn befördern ;;Un brillante turco mercenario y ex guerrero esclavo por el nombre de Sabuktigin se ha distinguido varias veces, liderando su compañía de jinetes en la batalla y los ataques. Mis comandantes piensan que debería darle una posición más destacada.;;;;;;;;;x
EVTOPTA60401;Gandhara a legjobb!;Gandhara est le meilleur choix !;Gandhara lohnt sich!;;Gandhara es el mejor!;;;;;;;;;x
EVTOPTB60401;Multan természetesnek tûnik;Multan, ça tombe sous le sens;Multan scheint nahe zu liegen;;Multan parece natural;;;;;;;;;x
EVTOPTC60401;Lahore gazdag és gyenge;Lahore, ses richesses, sa vulnérabilité...;Lahore ist reich und unbewaffnet;;Lahore es rico y débil;;;;;;;;;x
EVTOPTD60401;Bhakkar elsõnek!;Commençons par Bhakkar !;Zuerst Bhakkar!;;Bhakkar primero!;;;;;;;;;x
EVTNAME60406;A gaznavidák felemelkedése;La montée des Ghaznévides;Aufstieg der Ghaznaviden;;Subida de los Gaznávidas;;;;;;;;;x
EVTDESC60406;Egy korábbi török zsoldos és rabszolga harcos felemelkedésnek indult az afgánok földjén.  Szebüktegin egy buzgó ember, aki megveti a hitetleneket, és úgy tûnik, egy olyan birodalmat kíván létrehozni, ami a régi kalifákéval vetekszik, épp most zúzta szét [FromFrom.GetTitledName] seregeit egy brutális háborúban. Több tízezer ádáz törzslakó gyûlt a zászlaja alá!;Un ancien mercenaire turc et guerrier esclave est apparu dans les terres afghanes. Ce Sabuktigin, un home zélé qui déteste les infidèles, semble vouloir créer un empire destiné à rivaliser avec celui des anciens califes. Il vient d'écraser [FromFrom.GetTi;Ein ehemaliger türkischer Söldner und Sklavensoldat gewinnt zunehmend an Macht und Einfluss im Land der Afghanen. Dieser Sabuktigin, ein diensteifriger Mann, der Ungläubige verabscheut, scheint die Absicht zu haben, ein Reich zu errichten, das dem der alt;;Un ex soldado mercenario y esclavo turco está subiendo por las tierras de los Afganos. Este Sabuktigin, un hombre celoso que detesta a los infieles, parece decidido a crear un imperio capaz de rivalizar con los califas de antaño, ya que acaba de terminar de aplastar a [FromFrom.GetTitledName] en una guerra brutal. Decenas de miles de miembros violentos de la tribu se han reunido bajo su bandera!;;;;;;;;;x
EVTOPTA60406;Rettegjetek, hitetlenek!;Infidèles, prenez garde !;Nehmt euch in Acht, Ungläubige!;; Cuidado Infieles !;;;;;;;;;x
EVTOPTB60406;Micsoda problémás régió…;Quelle contrée troublée...;Was für eine unruhige Region das ist…;;Qué región más agitado esta...;;;;;;;;;x
EVTOPTC451;[From.GetSheHeCap] nem az én fajtám;[From.GetSheHeCap] n'est pas mon type;[From.GetSheHeCap] ist nicht mein Typ;;[From.GetSheHeCap] no es mi tipo;;;;;;;;;x
EVTOPTA450;Bátorítod [Root.Liege.GetHerHim]-t;L'encourager;Ermutige [Root.Liege.GetHerHim];;Animar a [Root.Liege.GetHerHim];;;;;;;;;x
EVTOPTA454;Hogy tud [From.GetSheHe] ellenállni a sármomnak?;Comment a-t-[From.GetSheHe] pu résister à mes charmes ?;Wie könnte [From.GetSheHe] meinem Charm wiederstehen?;;¿Cómo podría [From.GetSheHe] resistirse a mis encantos?;;;;;;;;;x
EVTDESC453;Elmentem [From.GetFirstName] hálófülkéjébe, és jó kis hancúrozást rendeztünk ketten!;Je suis allé dans ses appartements et lui ai expliqué ma façon de penser !;Ich besuchte das Gemach von [From.GetFirstName] und trieb es ordentlich mit [From.GetHerHim]!;;Fui a la recámara de [From.GetFirstName] y le di a [From.GetHerHim] una buena caída!;;;;;;;;;x
NOT_ALREADY_NEGOTIATED;NEM áll jelenleg tárgyalás alatt;N'a PAS encore négocié;Hat NICHT schon verhandelt;;No se ha negociado todavía;;;;;;;;;x
force_back_tactic;Válaszcsapás;Forcer à reculer;Zurückschlagen;;Forzar atrás;;;;;;;;;x
gray_wall_tactic;Szürke fal;Mur gris;Graue Wand;;Pared gris;;;;;;;;;x
crushing_charge_tactic;Elsöprõ roham;Charge irrésistible;Vernichtender Angriff;;Carga Aplastante;;;;;;;;;x
EVTDESC_RoI_115;A hinduizmus négy legfontosabb irányzata a saivizmus, a vaisnavizmus, a sáktizmus és a smartizmus. Úgy döntöttél, hogy új utat keresel, de melyik legyen az?;Les quatre traditions de l'hindouisme sont le shivaïsme, le vishnouisme, le shaktisme et le smartisme. Vous avez décidé de choisir une nouvelle voix, mais laquelle ?;Die vier Traditionen des Hinduismus sind Shaivismus, Vaishnavismus, Shaktismus und Smartismus. Ihr habt euch dazu entschlossen, einen neuen Weg einzuschlagen, aber welcher soll es sein?;;Las cuatro tradiciones del Hinduismo son Shaivismo, Vaishnavismo, Shaktismo y Smartismo. Te has decidido a seguir un camino nuevo, pero cuál será?;;;;;;;;;x
EVTDESC_RoI_116;A buddhizmus három legfontosabb irányzata a mahájána, a vadzsrajána és a théraváda. Úgy döntöttél, új filozófia felé fordulsz, de melyik legyen az?;Les trois principales branches du bouddhisme sont Mahayana, Vajrayana et Theravada. Vous avez décidé de chercher une nouvelle philosophie, mais laquelle ?;Die drei großen Zweige des Buddhismus sind Mahayana, Vajrayana und Theravada. Ihr habt euch dazu entschlossen, eine neue philosophische Perspektive einzunehmen, aber welche soll es sein?;;Las tres grandes ramas del budismo son Mahayana y Vajrayana Theravada. Te has decidido a buscar una nueva filosofía, pero cuál será?;;;;;;;;;x
MORAL_AUTHORITY_DESC;Egy vallás morális fennhatósága befolyásolja a birtokok, a személyek megtérítésének esélyét és az eretnekségre való fogékonyságukat. Alacsony fennhatóság megakadályozhatja a  fõpapot olyan különleges mûveletek végrehajtásában, mint a kiátkozás. Még instablitást is okoz számos negatív eseménnyel a birodalmadban, miközben az egyház elveszíti a nép támogatását.;L'autorité morale d'une religion affecte les chances de conversion des personnages et des provinces, ainsi que la susceptibilité aux hérésies. Une autorité faible peut empêcher le chef de la religion d'effectuer des actions spéciales comme les excommunica;Die moralische Autorität einer Religion beeinflusst die Konvertierungschancen von Charakteren und Provinzen und die Anfälligkeit für Häresie. Ein niedriger Autoritätswert kann bewirken, dass der Oberpriester besondere Handlungen, wie zum Beispiel Exkommun;;La autoridad moral de una religión afecta a las posibilidades de conversión de personajes y provincias y la susceptibilidad a las herejías. Un valor bajo de autoridad puede evitar que el jefe pontífice realice acciones especiales como la excomunión. También puede causar inestabilidad con varios acontecimientos negativos en tu reino como que las instituciones religiosas pierdan el control de la población.;;;;;;;;;x
MODIFIER_CHURCH_OPINION;Egyházi hûbéres vélemény;Opinion des vassaux du temple;Meinung der Tempelvassallen;;Opinión de vasallo del Templo;;;;;;;;;x
CANNOT_AFFORD_THE_PIETY;§RNincs elég $PIETYNAME$!§W\n;§RNous n’avons pas assez de $PIETYNAME$!§W\n;§RWir haben nicht genügend $PIETYNAME$!§W\n;;§R No tenemos suficiente $PIETYNAME$!§W\n;;;;;;;;;x
HIRE_ORDER_DESC;Vedd fel a §Y$TITLE$§W csapatait §Y$COST$§W  összegért $PIETYNAME$. (§Y$CAPITAL$§W közelébe fognak megérkezni.);Engagez §Y$TITLE$§W pour §Y$COST$§W en $PIETYNAME$. (L’arrivée se fera à §Y$CAPITAL$§W ou à proximité).;§Y$TITLE$§W für §Y$COST$§W $PIETYNAME$ anwerben. (Sie treffen in oder nahe §Y$CAPITAL$§W ein.);;Alquilar §Y$TITLE$§W por §Y$COST$§W $PIETYNAME$. (Llegarán a §Y$CAPITAL$§W o cerca.);;;;;;;;;x
expel_the_jomsvikings_desc;Kiûzhetem a templomos lovagokat a birodalmamból, és megszerezhetem birtokaikat. Habár ez egy elég kegyetlen dolog…;Je peux expulser les Jomsvikings de mon territoire et prendre possession de leurs châteaux. Ce serait par contre un acte très impie...;Ich kann die Jomswikinger aus meinem Reich vertreiben und mir ihre Burgen aneignen. Das ist jedoch eine sehr unfromme Tat...;;Puedo echar a los Jomsvikings de mi reino y apoderarme de sus castillos. Sin embargo, es una acción muy impía...;;;;;;;;;x
