#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
HOLD_ELECTION_EFFECT;A $TITLE$ titulus esetén választásokat tartanak\n;Élection en $TITLE$.\n;Eine Wahl wird gehalten in $TITLE$.\n;;Elección en $TITLE$.\n;;;;;;;;;x
EVTDESC_SOA_1709;Szent Antal lovagja egyike a legõsibb lovagrendnek. 370-ben alapította Szent Antal az Etióp császár védelme alatt.\n\nHabár az elmúlt századokban a háttérben megbújtak, de most újúlt erõvel tértek vissza. Feladatok, hogy megvédjék a [Root.Religion.GetName]  híveket azoktól, akik kárukat kívánják és, hogy megtisztítsák a világot a hitetlenektõl és eretnekektõl, akárhol is legyenek.;Les chevaliers de l'Ordre de saint Antoine proviennent d'un des plus anciens ordres de chevaliers du monde. En 370, des disciples d'Antoine l'Ermite fondent l'Ordre de saint Antoine sous le patronage de l'empereur d'Éthiopie.\n\nMême si cet ordre s'est montré discret pendant plusieurs siècles, il apparaît désormais comme une force puissante. Son but annoncé est de protéger les chrétiens [Root.Religion.GetName] de tous ceux qui leur veulent du mal et d'expulser tous les infidèles et tous les hérétiques qu'ils peuvent trouver.;Die Ritter des Heiligen Antonius sind einer der ältesten Ritterorden, gegründet im Jahr  370 von Schülern des Heiligen Antonius, dem Einsiedlers unter dem Patronat des Kaisers von Äthiopien. \n\nObwohl sie viele Jahrhunderte lang kaum aktiv waren, haben sie sich jetzt als starke Macht neu formiert, mit dem erklärten Ziel, [Root.Religion.GetName] Christen vor allen zu schützen, die ihnen übelwollen, und das Land von Ketzern und Ungläubigen zu säubern, wo immer die sich auch zeigen sollten. ;;Los Caballeros de San Antonio provienen de una de las órdenes de caballería más antiguas del mundo. En el 370, los discípulos de Antonio el Ermitaño fundaron la Orden de San Antonio bajo el patrocinio del emperador de Etiopía.\n\nA pesar de que se han mantenido fuera de la escena pública durante muchos siglos, esta orden santa ha salido ahora a la luz como fuerza poderosa. Su propósito declarado es proteger a los cristianos [Root.Religion.GetName] de todos aquellos que pretendan causarles mal y purgar la tierra de infieles y herejes, dondequiera que se encuentren.;;;;;;;;;x
EVTDESC_SOA_1809;Perzsia legkiválóbb harcosai elhatározták, hogy egy szent rendben egyesülnek a [Root.Religion.GetName] hit védelme érdekében. Halhatatlanoknak nevezik magukat, akárcsak, ahogy Hérodotosz leírta az õsi perzsa elitet, és úgy tûnik követik ezen õsi hagyományokat.\n\nEz a harcias rend felesküdött Zoroaszter örökségének védelmére, és megfogadták, hogy nem ismétlõdhet meg az a szenvedés, amit az arab hódítások okoztak a VII. században;Certains parmi les meilleurs guerriers de Perse ont pris la décision de fonder un nouvel ordre dédié à protéger la foi [Root.Religion.GetName]. Ils se font appeler les Immortels, comme ces guerriers d'élite perses de l'ancien temps décrits par Hérodote, et ils semblent avoir l'intention de porter la tradition martiale de leurs légendaires prédécesseurs.\n\nCet ordre militant a juré de combattre tous ceux qui menacent l'héritage de Zoroastre et de faire le nécessaire pour que le foi [Root.Religion.GetName] ne souffre plus jamais les maux qu'il a connus lors de la conquête arabe du VIIe siècle.;Einige von Persiens besten Kriegern haben es auf sich genommen, einen neuen Heiligen Orden zum Schutz des [Root.Religion.GetName] Glaubens zu gründen. Sie nennen sich selbst Die Unsterblichen, wie die alte, von Herodot beschriebene persische Kriegerelite, und sie wollen die martialischen Traditionen ihrer legendären Vorläufer wieder aufleben lassen.\n\nDieser militante Heilige Orden hat sich dem Kampf gegen alle verschrieben, die das Erbe Zoroastrers bedrohen könnten, damit der Zorastrianismus nie mehr Rückschläge wie nach den arabischen Eroberungen im 7. Jahrhundert erleiden muss.  ;;Unos de los mejores guerreros de Persia han asumido la tarea de fundar una nueva orden santa dedicada a salvaguardar la fé [Root.Religion.GetName]. Se hacen llamar los Inmortales, al igual que la antigua élite guerrera persa descrita por Herodoto, y parecen decididos a continuar con la tradición marcial de sus legendarios predecesores.\n\nEsta orden santa militante ha jurado luchar contra todos los que amenacen el legado de Zoroastro y no permitir que la fé [Root.Religion.GetName] vuelva a sufrir los reveses causados por las conquistas árabes del siglo VII.;;;;;;;;;x
EVTDESC_SOA_1209;Hádzsi Baktash Váli, egy Koraszáni misztikus vezetése alatt kimelkedett a Szufi dervis szekta. A 'Lét Egységét' hírdetve, a Bektashik meditációval erõsítik lelküket és a Korán mélyebb gondolatain elmélkednek. A Bektashi Rend nagyon harcias és népszerû a [Root.Religion.GetName] muszlimok körében. A rend felesküdött az iszlám védelmére és, hogy megkûzdenek a hitetlenekkel és a többistenhívõkkel.;Une secte soufie de derviches est apparue sous le commandement d'un certain Haci Bektas Veli, un mystique natif du Khorassan. Œuvrant pour ce qu'ils appellent l'Unité de l'Être, les Bektachis forment leurs âmes à la méditation et la contemplation du sens caché du Coran. La Confrérie des Bektachis est un ordre guerrier particulièrement apprécié des soldats musulmans [Root.Religion.GetName]. L'ordre a juré de protéger l'Islam et de combattre les infidèles et les polythéistes de toutes sortes.;"Unter der Führerschaft eines gewissen Hadschi Baktasch Wali, eines Mystikers aus Khorosan, ist eine Sufi-Sekte aus Derwischen entstanden. In ihrem Streben nach der ""Einheit des Seins"" ertüchtigen die Bektaschis ihre Seele durch Meditation und Kontemplation der wahren Bedeutung des Korans. Der kriegerische Bektaschi-Orden ist besonders bei jungen [Root.Religion.GetName] Soldaten beliebt. Die Mitglieder leisten einen Eid, den Islam zu schützen und Ungläubige und Polytheisten jeder Art zu belämpfen.";;"Ha surgido una secta sufí de derviches bajo el liderazgo de un tal Hadji Bektash Wali, un místico de Jorasán. Los Bektashis aspiran a la ""Unidad del Ser” y educan el alma a través de la meditación y la contemplación del significado interno del Corán. La Orden Bektashi es favorable a la guerra y especialmente popular entre los soldados musulmanes [Root.Religion.GetName]. La Orden ha jurado proteger el Islam y combatir a los infieles y politeístas de todo tipo.";;;;;;;;;x
EVTDESC88000;Az a hír járja, hogy egy [Root.Religion.GetName] szerzetes, Hasszán-i Sabbah megalapított egy rendet, melyet 'Hashshashin' néven emlegetnek Nyugat-Perzsiában. Trükköket és megtévesztést bevetve sikerült elfoglalniuk Alamut hegyi erõdjét, amit fõhadiszálásukká neveztek ki. Máris számtalan erõszakos gyilkosággot kötnek Hasszán elkötelezett és félelmet nem ismerõ harcosaihoz...;Une rumeur court voulant qu'un missionnaire [Root.Religion.GetName], Hassan-i Sabbah, aurait créé un ordre religieux connu sous le nom de 'Hashshashin', quelque part en Perse occidentale. À force de ruse et de fourberie, ce culte mystérieux d'assassins fort entraînés a ré;Es spricht sich herum, dass ein [Root.Religion.GetName] Missionar, Hassan-i Sabbah, einen religiösen Orden, 'Hashshashin' genannt, irgendwo in West-Persien, gegründet hat. Dieser mysteriöse Kult ausgebildeter Mörder hat, mit Hilfe von Betrügereien und Tücke, die Kon;;Se comenta que un misionero [Root.Religion.GetName], Hassan-i Sabbah, ha fundado una orden religiosa conocida como los 'Hassasin' en algún lugar al oeste de Persia. Utilizando la astucia y el engaño, este misterioso culto de entrenados asesinos ha tomado el control de la fortaleza de Alamut y la ha convertido en su cuartel general. Ya puede apreciarse el reguero de crímenes violentos de los devotos e intrépidos discípulos de Hassan...;;;;;;;;;x
donate_money_to_assassins;Adományozz 300¤ a Hashshashinok számára;Donner 300¤ aux Hashshashin;Spendet den Hashshashin 300¤ ;;Donar 300¤ a los Hassasin;;;;;;;;;x
donate_money_to_assassins_desc;Adományozhatok pénzt a Hashshashinok számára áhitatért cserébe.;Je peux donner de l'argent aux Hashshashin en échange de [Player.Religion.GetPietyName].;Ich kann den Hashshashin Geld spenden im Tausch gegen [Player.Religion.GetPietyName].;;Puedo hacer una donación a los Hassasin. A cambio obtendré [Player.Religion.GetPietyName].;;;;;;;;;x
donate_money_to_bektashi;Adományozz 300¤ a Bektashik számára;Donner 300¤ aux Bektachis;Spendet den Bektaschi 300¤ ;;Donar 300¤ a los Bektashi;;;;;;;;;
donate_money_to_bektashi_desc;Adományozhatok pénzt a Bektashik számára áhitatért cserébe.;Je peux donner de l'argent aux Bektachis en échange de [Player.Religion.GetPietyName].;Ich kann den Bektaschi Geld spenden im Tausch gegen [Player.Religion.GetPietyName].;;Puedo hacer una donación a los Bektashi. A cambio obtendré [Player.Religion.GetPietyName].;;;;;;;;;x
donate_money_to_knights_templar;Adományozz 300¤ a Templomosok számára;Donner 300¤ aux Templiers;Spendet den Tempelrittern 300¤ ;;Donar 300¤ a los Caballeros Templarios;;;;;;;;;x
donate_money_to_knights_templar_desc;Adományozhatok pénzt a Templomos Lovagrend számára áhitatért és a [Root.Religion.GetName] egyház életreszóló megbecsüléséért.;Je peux donner de l'argent aux Templiers en échange de piété et du respect permanent de l'Église [Root.Religion.GetName].;Mit einer Geldspende an die Tempelrittern kann ich Frömmigkeit und den lebenslangen Respekt der [Root.Religion.GetName] Kirche erlangen.;;Puedo hacer una donación a los Caballeros Templarios. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_knights_hospitaler_desc;Adományozhatok pénzt a Istápolyos Lovagrend számára áhitatért és a [Root.Religion.GetName] egyház életreszóló megbecsüléséért.;Je peux donner de l'argent aux chevaliers hospitaliers en échange de piété et du respect permanent de l'Église [Root.Religion.GetName].;Mit einer Geldspende an die Johanniter kann ich Frömmigkeit und den lebenslangen Respekt der [Root.Religion.GetName] Kirche erlangen.;;Puedo hacer una donación a los Caballeros Hospitalarios. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_teutonic_order_desc;Adományozhatok pénzt a Teuton Lovagrend számára áhitatért és a [Root.Religion.GetName] egyház életreszóló megbecsüléséért.;Je peux donner de l'argent à l'Ordre teutonique en échange de piété et du respect permanent de l'Église [Root.Religion.GetName].;Mit einer Geldspende an die Deutschritter kann ich Frömmigkeit und den lebenslangen Respekt der [Root.Religion.GetName] Kirche erlangen.;;Puedo hacer una donación a la Orden Teutónica. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_knights_santiago_desc;Adományozhatok pénzt a Szent Jakab Lovagrend számára áhitatért és a [Root.Religion.GetName] egyház életreszóló megbecsüléséért.;Je peux donner de l'argent à l'Ordre de Santiago en échange de piété et du respect permanent de l'Église [Root.Religion.GetName].;Ich kann den Jakobsrittern Geld spenden im Tausch gegen Frömmigkeit und lebenslangen Respekt durch die [Root.Religion.GetName] Kirche.;;Puedo hacer una donación a los Caballeros de Santiago. A cambio obtendré la Piedad y el respeto de por vida de la iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_knights_calatrava_desc;Adományozhatok pénzt a Calatrava Lovagrend számára áhitatért és a [Root.Religion.GetName] egyház életreszóló megbecsüléséért.;Je peux donner de l'argent à l'Ordre de Calatrava en échange de piété et du respect permanent de l'Église [Root.Religion.GetName].;Ich kann den Rittern von Calatrava Geld spenden im Tausch gegen Frömmigkeit und lebenslangen Respekt durch die [Root.Religion.GetName] Kirche.;;Puedo hacer una donación a los Caballeros de Calatrava. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_holy_sepulchre_desc;Adományozhatok pénzt a Szent Sír Testvériség számára áhitatért és a [Root.Religion.GetName] egyház életreszóló megbecsüléséért.;Je peux donner de l'argent à l'Ordre du Saint-Sépulcre en échange de piété et du respect permanent de l'Église [Root.Religion.GetName].;Ich kann der Bruderschaft des Heiligen Grabes Geld spenden und erhalte dafür Frömmigkeit und den lebenslangen Respekt der [Root.Religion.GetName] Kirche.;;Puedo hacer una donación a la Hermandad del Santo Sepulcro. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_saint_anthony_desc;Adományozhatok pénzt a Szent Antal Lovagrend számára áhitatért és a [Root.Religion.GetName] egyház életreszóló megbecsüléséért.;Je peux donner de l'argent à l'Ordre de saint Antoine en échange de piété et du respect permanent de l'Église [Root.Religion.GetName]..;Ich kann dem Orden des Heiligen Antonius Geld spenden im Tausch gegen Frömmigkeit und den lebenslangen Respekt durch die [Root.Religion.GetName] Kirche.;;Puedo hacer una donación a la Orden de San Antonio. A cambio obtendré la Piedad y el respeto de por vida de la Iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_the_immortals_desc;Adományozhatok pénzt a Halhatatlanok számára áhitatért és a [Root.Religion.GetName] egyház életreszóló megbecsüléséért.;Je peux donner de l'argent aux Immortels en échange de piété et du respect permanent de l'Église [Root.Religion.GetName]..;Ich kann den Unsterblichen Geld spenden im Tausch gegen Frömmigkeit und den lebenslangen Respekt durch die [Root.Religion.GetName] Kirche.;;Puedo hacer una donación a los Inmortales. A cambio obtendré la Piedad y el respeto de por vida de la iglesia [Root.Religion.GetName].;;;;;;;;;x
donate_money_to_the_zealots_desc;Adományozhatok pénzt a fanatikusok számára áhitatért és a [Root.Religion.GetName] papság életreszóló megbecsüléséért.;Je peux donner de l'argent aux Zélotes en échange de [Root.Religion.GetPietyName] et du respect permanent du clergé [Root.Religion.GetName].;Ich kann den Zeloten Geld spenden im Tausch gegen [Root.Religion.GetPietyName] und den lebenslangen Respekt durch die [Root.Religion.GetName] Priesterschaft;;Puedo hacer una donación a los Zelotes. A cambio obtendré la [Root.Religion.GetPietyName] y el respeto de por vida del sacerdocio [Root.Religion.GetName].;;;;;;;;;x
EVTDESC_SOA_1841;Nagy [Root.PrimaryTitle.GetRulerTitle], a te igen nagylelkû adományod segítségünkre lesz a [Root.Religion.GetName] hívek védelmében! Biztosíthatlak a magam barátságáról, akárcsak a papságéról.\n\nLegyen meg Zoroaszter akarata,\n[From.GetFirstName] Nagymester;Noble [Root.PrimaryTitle.GetRulerTitle], votre très généreuse contribution nous aidera grandement dans notre défense perpétuelle de la foi [Root.Religion.GetName]. Recevez mon amitié ainsi que celle des prêtres.\n\nQue la volonté de Zoroastre soit faite,\nGrand Maître [From.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle], Eure äußerst großzügige Spende wird uns sehr helfen in unserer andauernden Verteidigung der gläubigen [Root.Religion.GetName]! Ihr habt meine Freundschaft, wie auch die der Priesterschaft. \n\nIm Wille Zorasters,\nGroßmeister [From.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡esta donación tan generosa nos será de gran ayuda en nuestra defensa continua del culto a Zoroastro! Tiene mi amistad, así como la del sacerdocio.\n\nPor deseo de Zoroastro,\nGran Maestre [From.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1941;Nagy [Root.PrimaryTitle.GetRulerTitle],a te igen nagylelkû adományod segítségünkre lesz Jeruzyálem, a Harmadik Templom és a [Root.Religion.GetName] hit védelmében! Biztosíthatlak a magam barátságáról, akárcsak a papságéról.\n\nEmlékezz Masadára!\n[From.GetFirstName] Nagymester;Noble [Root.PrimaryTitle.GetRulerTitle], votre très généreuse contribution nous aidera grandement dans notre défense perpétuelle de Jérusalem, du Troisième temple et de la religion [Root.Religion.GetName] ! Recevez mon amitié ainsi que celle des prêtres.\n\nSouvenez-vous de Masada !\nGrand Maître [From.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle], Eure äußerst großzügige Spende wird uns sehr helfen bei der Verteidigung Jerusalems, des Dritten Tempels und des [Root.Religion.GetName] Glaubens! Ihr habt meine Freundschaft, wie auch die der Priesterschaft. \n\nIm Im Gedenken an Masada.\nGroßmeister [From.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡esta donación tan generosa nos será de gran ayuda en nuestra defensa continua de Jerusalén, del Tercer Templo y de la fe [Root.Religion.GetName]! Tiene mi amistad, así como la del sacerdocio.\n\nEn recuerdo de Masadá,\nGran Maestre [From.GetFirstName];;;;;;;;;x
PREVENT_DECADENCE;Ez a karakter nem adódik hozzá a dinasztiája dekadenciájához.;Ce personnage ne contribuera pas à la décadence de sa dynastie.;Dieser Charakter will nicht zum Dekadenz seiner Dynastie beitragen.;;Este personaje no contribuirá a la decadencia se su dinastía.;;;;;;;;;x
TITLE_REQUEST_CLAIM;Követelés;Demande;Bitte;;Solicitud;;;;;;;;;x
TITLE_REQUEST_CLAIM_TOOLTIP;Kérj követelést erre a titulusra;Demander une revendication sur ce titre;Bittet um Erteilung eines Anspruchs auf diesen Titel;;Solicitud de derecho sobre este título;;;;;;;;;x
TITLE_CANNOT_USURP_COUNTIES_OTHER_REALM;§RNem lehetséges grófi rangok elbitorlása a birodalmon kívül;§RVous ne pouvez pas usurper de titres de comtés hors de votre royaume;§RGrafschaften außerhalb Eures Reiches können nicht übernommen werden;;§RNo es posible usurpar títulos de conde fuera de vuestro reino;;;;;;;;;x
TITLE_CANNOT_USURP_BARONIES;§RNem lehetséges bároi rangok elbitorlása;§RVous ne pouvez pas usurper de titres de baronnie;§RBaronien außerhalb Eures Reiches können nicht übernommen werden;;§RNo es posible usurpar títulos de barón;;;;;;;;;x
TITLE_CANNOT_USURP_OWN;§RNem bitorolhatsz el titulusokat a birodalmadon belül erõs követelés nélkül!;§RVous ne pouvez pas usurper de titres de votre royaume sans une revendication !;§RTitel im eigenen Reich können ohne starken Anspruch nicht übernommen werden!;;¡§RNo podéis usurpar títulos en vuestro propio reino sin un derecho de peso!;;;;;;;;;x
