#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
NAME_W_NICK;$NICK$' $NAME$ $TITLE$;$TITLE$ $NAME$ '$NICK$';$TITLE$ $NAME$ '$NICK$';;$TITLE$ $NAME$ '$NICK$';;;;;;;;;x
RETRACT_VASSAL_INTERACTION_2C;Mivel §Y[Recipient.GetTitledFirstName]§! egy aljas §Y[Recipient.Religion.GetName]§!, a hûbéreseink nem ellenkeznek.;Puisque §Y[Recipient.GetTitledFirstName]§! est un infidèle §Y[Recipient.Religion.GetName]§!, nos vassaux ne s'y opposeront pas.;Da §Y[Recipient.GetTitledFirstName]§! ein dreckiger §Y[Recipient.Religion.GetName]§! ist, werden unsere Vasallen nicht widersprechen.;;Como §Y[Recipient.GetTitledFirstName]§! es un fiel §Y[Recipient.Religion.GetName]§!, nuestros vasallos no se opondrán.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_2D;Ez a hûbéresi szerzõdés megszegése és ez feldühíti a többi hûbéresed (§R$OPINION$§!).;Cet acte constitue une violation du droit féodal ce qui ne manquera pas de froisser nos autres vassaux (§R$OPINION$§!).;Dies ist ein Bruch des Feudalvertrages und wird deine anderen Vasallen beunruhigen (§R$OPINION$§!).;;Esta es una ruptura del contrato feudal y enfadará a nuestros vasallos (§R$OPINION$§!).;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_2E;A Birodalmi adminisztrációnk lehetõvé teszi hûbéresek visszavonását az arisztokrácia ellenkezése nélkül..;Notre administration impériale nous autorise à soustraire des vassaux à leurs suzerains sans pénalité.;Unsere imperiale Administration erlaubt uns, Vasallen zurückzunehmen, ohne dass der Adel widerspricht.;;Nuestra administración imperial nos permite desafectar vasallos sin objeciones de la aristocracia.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_ACCEPT_SETUP;Hûbéres visszavonva;Vassal soustrait;Vasall zurückgenommen;;Vasallo desafectado;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§W átruházta §Y[ThirdPartyCharacter.GetBestName]§W hûbérességét §Y[Recipient.GetBestName]§W személyétõl;§Y[Actor.GetBestName]§W a soustrait §Y[ThirdPartyCharacter.GetBestName]§W de la suzerainté de §Y[Recipient.GetBestName]§W;§Y[Actor.GetBestName]§W hat das Vasallentum von §Y[ThirdPartyCharacter.GetBestName]§W von §Y[Recipient.GetBestName]§W zurückgenommen.;;§Y[Actor.GetBestName]§W ha transferido el vasallaje de §Y[Recipient.GetBestName]§W sobre §Y[ThirdPartyCharacter.GetBestName]§W;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_LETTER;Elhatároztuk [ThirdPartyCharacter.GetBestName] hûbérességének átruházását. A beleegyezés elmulasztása háborúhoz vezet.;Nous avons décidé de soustraire de votre vassalité [ThirdPartyCharacter.GetBestName]. Un refus mènera à la guerre.;Wir haben entschieden, das Vasallentum von [ThirdPartyCharacter.GetBestName] zurückzunehmen. Ablehnung wird zu Krieg führen.;;Hemos decidido desafectar el vasallaje de [ThirdPartyCharacter.GetBestName]. Negarse a aceptarlo nos llevará a la guerra.;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_DECLINE_SETUP;Hûbéres visszavonása elutasítva;Retrait du vassal refusé;Vasallenrücknahme abgelehnt;;Desafección de un vasallo rechazada;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_DECLINE_LOG;§Y[Recipient.GetBestName]§W visszautasította §Y[ThirdPartyCharacter.GetBestName]§W hûbérességének átruházását, amit §Y[Actor.GetBestName]§W követelt;§Y[Recipient.GetBestName]§W a refusé de voir soustrait de sa suzerainté sur §Y[ThirdPartyCharacter.GetBestName]§W, exigé par §Y[Actor.GetBestName]§W;§Y[Recipient.GetBestName]§W hat die Rücknahme des Vasallen §Y[ThirdPartyCharacter.GetBestName]§W, gefordert von §Y[Actor.GetBestName]§W, abgelehnt.;;§Y[Recipient.GetBestName]§W ha rechazado la desafección de su vasallo §[ThirdPartyCharacter.GetBestName]§W, demandada por §Y[Actor.GetBestName]§W;;;;;;;;;x
EVTDESC274;Uram, elfogadom a döntésed [Root.GetBestName] hûbéresem visszavonását illetõen, ám ez mélyen elszomorít.;Cher suzerain, j'accepte votre décision de me soustraire mon vassal, [Root.GetBestName], bien que cela me chagrine énormément.;Mein Lehnsherr, ich akzeptiere Eure Entscheidung, meinen Vasallen, [Root.GetBestName], zurückzunehmen, auch wenn sie mich tief betrübt.;;Mi Señor, acepto la decisión de desafectar mi vasallo, [Root.GetBestName], aunque me apena tremendamente.;;;;;;;;;x
EVTDESC275;Elfogadhatatlan a hûbéresi szerzõdés egyoldalú megsértése, nem fogom feladni a hûbéresem harc nélkül!;Cette violation du droit féodal est inacceptable, je n'abandonnerai pas mon vassal sans combattre !;Euer Bruch des feudalen Vertrages ist inakzeptabel, ich werde meinen Vasallen nicht ohne Kampf aufgeben!;;Tu ruptura del contrato feudal es inaceprable, ¡No entregaré ninguno de mis vasallos si no es a por medio de las armas!;;;;;;;;;x
CANNOT_DESTROY_GAVELKIND_TITLE;Nem szüntethetsz meg titulusokat Gavelkind-szerû örökösítés alatt;Les titres ne peuvent être détruits si vous êtes soumis au partage salique.;Kann unter Realerbteilungsrecht keine Titel vernichten;;No puedes destruir títulos bajo la ley de sucesión por división;;;;;;;;;x
INTERACTION_REQUIRES_PIETY;§Y[Actor.GetBestName]§! megengedhet §Y$COST$§W áhitat veszteséget;§Y[Actor.GetBestName]§! dispose d'assez de [Player.Religion.GetPietyName] pour en perdre §Y$COST$§W;§Y[Actor.GetBestName]§! kann es sich leisten, §Y$COST$§W [Player.Religion.GetPietyName] zu verlieren;;§Y[Actor.GetBestName]§! no puede permitirse la perdida de §Y$Cost$§W [Player.Religion.GetPietyName];;;;;;;;;x
INTERACTION_REQUIRES_MONEY;§Y[Actor.GetBestName]§! tud §Y$COST$§W¤ értéket fizetni;§Y[Actor.GetBestName]§! peut débourser la somme de §Y$COST$§W¤;§Y[Actor.GetBestName]§! kann §Y$COST$§W¤ zahlen;;§Y[Actor.GetBestName]§! no puede pagar §Y$COST$§W¤;;;;;;;;;x
INTERACTION_REQUIRES_PRESTIGE;§Y[Actor.GetBestName]§! megengedhet §Y$COST$§W tekintély veszteséget;§Y[Actor.GetBestName]§! dispose d'assez de prestige pour en perdre §Y$COST$§W;§Y[Actor.GetBestName]§! kann es sich leisten, §Y$COST$§W Prestige zu verlieren;;§Y[Actor.GetBestName]§! puede permitirse la perdida de §Y$Cost$§W prestigio;;;;;;;;;x
CelticUnitPackDLC;Kelta egység csomag;Pack d'unités celtiques;Keltisches Einheitenpacket;;Pack de Unidades Celtas;;;;;;;;;x
CelticPortraitsDLC;Kelta portrék;Portraits celtiques;Keltische Porträts;;Perfiles Celtas;;;;;;;;;x
broken_spirit;Megtört lélek;Esprit brisé;Gebrochener Geist;;Espíritu Solitario;;;;;;;;;x
opinion_subjugated_other_rel;Leigázott;Soumis;Unterworfen;;Subyugado;;;;;;;;;x
d_meath_adj_irish;taran;Taran;Taranisch;;Taran;;;;;;;;;x
d_ghanan_band;Ghánai Banda;Bande ghanéenne;Bande von Ghana;;Banda Ghanesa;;;;;;;;;x
d_ghanan_band_adj;ghánai;ghanéenne;Ghanaisch;;Ghanesa;;;;;;;;;x
AIREASON_CONSORT_CLAIMANT;Trónkövetelõ;Est un prétendant;Ist Anwärter;;Es un pretendiente;;;;;;;;;x
RULER_HAS_BECOME_KING_AMBITION;Az az ambíció, hogy §Y[PrimaryTitle.GetName]§! királya legyen, §Y[GetTitledFirstName]§! számára nem lehetséges a fõváros de jura kiráylságon kívülre történõ mozdítása.;Avec l'ambition de devenir roi de §Y[PrimaryTitle.GetName]§!, §Y[GetTitledFirstName]§! n'est pas autorisé à déplacer la capitale à l'extérieur du royaume de jure.;Mit der Ambition, König von §Y[PrimaryTitle.GetName]§! zu werden, darf §Y[GetTitledFirstName]§! die Hauptstadt nicht außerhalb des de jure Königreichs verlegen..;;Con la ambición de convertirse en Rey de §Y[PrimaryTitle.GetName]§!, a §Y[GetTitledFirstName]§! no se le permite mover su capital fuera del Reino de jure.;;;;;;;;;x
hellenic_pagan;Hellén;Hellénisme;Hellenisch;;Helenística;;;;;;;;;x
hellenic_pagan_DESC;A hellén vallás többistenhívõ, tizenkét fõisten pantheonját többek között Jupiter, Mars, Merkúr, Vénusz, Minerva és Veszta alkotják. Az ókori göröghonból eredeztethetõ és Nagy Sándor, illetve a Római Birodalom hódításai révén a mediterráneum domináns vallásává vált, egészen a kereszténység megjelenéséig. Játékbeli tulajdonságaik: \n§Y*§! Hódoltatási háborút indíthatnak más pogányok ellen\n§Y*§! Uralkodóik nem üzenhetnek Szent Háborút\n§Y*§! Gyengék a térítések ellen és sérülékenyek a nem-pogány térítõknek;La religion hellénique est polythéiste, avec un panthéon de douze dieux majeurs dont Jupiter, Mars, Mercure, Venus, Minerve et Vesta. Elle puise ses origines dans la Grèce antique et, grâce aux conquêtes d'Alexandre le Grand et l'Empire romain, elle a pu devenir la religion dominante en Méditerrannée jusqu'à l'avènement du Christianisme. Dans le jeu : \n§Y*§! Peut déclarer des guerres d'assujettissement contre les autre païens\n§Y*§! Les souverains ne peuvent pas déclarer de guerres saintes\n§Y*§! Capacité de conversion plus faible et vulnérable aux tentatives de conversion par les missionnaires non païens;Die hellenische Religion ist polytheistisch mit einem Pantheon von zwölf Hauptgöttern, zu welchen Jupiter, Mars, Merkur, Venus, Minerva und Vesta gehören. Sie entstammt dem alten Griechenland und wurde durch die Eroberungen Alexander des Großen und des römischen Reiches wurde sie zur Hauptreligion im Mittelmeerraum, bis zum Aufkommen des Christentums. Besondere Eigenschaften im Spiel: \n§Y*§! Kann Unterwerfungskriege gegen alle anderen Heiden führen\n§Y*§! Anführer können keinen heiligen Krieg erklären\n§Y*§! Unterlegen beim Bekehren und anfällig für nicht-heidnische Missionare;;La religión helenística es politeista, con un panteón de doce Dioses mayores incluyendo Júpiter, Marte, Mercurio, Venus, Minerva y Vesta. Se originó en la antigua Grecia y, con las conquistas de Alejandro Magno y el Imperio Romano, se convirtió en la religión predominante en el Mediterráneo hasta el auge del Cristianismo. Características definitorias en el juego: \n§Y*§! Puede declarar guerras de subyugación contra todos los demás paganos\n§Y*§! Los gobernantes no pueden declarar Guerras Santas\n§Y*§! Tasa inferior de conversión y vulnerable a los misioneros de religiones no paganas.;;;;;;;;;x
GOD_JUPITER;Jupiter;Jupiter;Jupiter;;Júpiter;;;;;;;;;x
GOD_MERCURY;Merkúr;Mercure;Merkur;;Mercurio;;;;;;;;;x
GOD_MARS;Mars;Mars;Mars;;Marte;;;;;;;;;x
GOD_VENUS;Vénusz;Venus;Venus;;Venus;;;;;;;;;x
GOD_MINERVA;Minerva;Minerve;Minerva;;Minerva;;;;;;;;;x
GOD_VESTA;Veszta;Vesta;Vesta;;Vesta;;;;;;;;;x
pagan_DESC;A történelem hajnala óta Európa és a Közel-Kelet számos pogány vallás és ábrahámi kultusz szülõhelye volt. Játékbeli tulajdonságaik:\n§Y*§! Uralkodóik a Gavelkind-szerû örökösítésre vannak korlátozva\n§Y*§! Uralkodóik nem üzenhetnek Szent Háborút\n§Y*§! Gyengék a térítések ellen és sérülékenyek a nem-pogány térítõknek;Depuis l'aube de l'Histoire, tant l'Europe que le Moyen-orient on été le foyer d'innombrables religions païennes et cultes détachés des fois abrahamiques. Dans le jeu :\n§Y*§! Les souverains sont restreints à l'usage de la succession par partage salique\n§Y*§! Les souverains ne peuvent pas déclarer de guerres saintes\n§Y*§! Capacité de conversion plus faible et vulnérable aux tentatives de conversion par les missionnaires non païens;Seit dem Beginn der Geschichte waren sowohl Europa als auch der Nahe Osten Heimat unzähliger heidnischer Religionen und Kulte, die nicht zu den abrahamitischen Glauben zählten. Besondere Eigenschaften im Spiel:\n§Y*§! Anführer können nur Realerbteilungsrecht wählen\n§Y*§! Anführer können keinen heiligen Krieg erklären\n§Y*§! Unterlegen beim Bekehren und anfällig für nicht-heidnische Missionare;;Desde el comienzo de los tiempos, tanto Europa como Oriente Medio han sido el hogar de incontables religiones paganas y de cultos no relacionados con las religiones abrahámicas. Características definitorias en el juego:\n§Y*§! Los gobernantes sólo pueden usar la ley de sucesión por división\n§Y*§! Los gobernantes no pueden delcarar Guerras Santas\n§Y*§! Tasa inferior de conversión y vulnerable a los misioneros de religiones no paganas;;;;;;;;;x
d_aztec_reformed;Az Azték Egyház;L'Eglise aztèque;Die aztekische Kirche;;La Iglesia Azteca;;;;;;;;;x
job_spiritual_hellenic_pagan;Jós;Devin;Augur;;Augur;;;;;;;;;x
job_spiritual_pagan;Jós;Devin;Augur;;Augur;;;;;;;;;x
pagan_subjugation_desc;Pogány uralkodók hódoltathatnak más pogány uralkodókat egysser az életük során. (A 'Királlyá válni' ambícióval, a királyságon belüli célpontokra nincsen idõhatár.) A szabad emberek mindig az erõs urlakodókat követik...;"Les païens peuvent assujettir d'autres païens, ce, une seule fois pendant toute leur vie. (Avec l'ambition ""Devenir roi"", cette limitation est levée quand il s'agit de cibles à l'intérieur du royaume visé.) Les hommes libres veulent toujours suivre le souverain le plus puissant...";Heiden dürfen einmal im Leben andere heidnische Anfährer unterwerfen. (Mit der 'König werden'-Ambition gibt es kein solches Zeitlimit gegen Gegner innerhalb des Königreiches.) Freie Männer sind immer willens, dem stärksten Herrscher zu folgen...;;Los paganos pueden subyugar a otros gobernantes paganos durante su vida. (Con la ambición 'Convertirse en Rey' no hay existe un plazo contra los objetivos dentro de los territorios de ese Reino.) Los hombres libres siempre estarán dispuestos a seguir al gobernante más poderoso...;;;;;;;;;x
